Date,Year,Month,Urban_Pixels,Valid_Pixels,Urban_Area_km2,Urban_Percentage,Quarter,DayOfYear,Days_Since_Start,Cluster
2013-05-26,2013,5,52,8617980,0.0468,0.0006033896574371,2,146,0,0
2013-06-11,2013,6,416,8617980,0.3744,0.004827117259497,2,162,16,0
2013-06-27,2013,6,1578,8617980,1.4202,0.018310555373765,2,178,32,0
2013-07-13,2013,7,1138,8617980,1.0242,0.0132049505800663,3,194,48,0
2013-07-29,2013,7,469,8617980,0.4221,0.0054421105641925,3,210,64,0
2013-08-14,2013,8,801,8617980,0.7209,0.0092945214539834,3,226,80,0
2013-08-30,2013,8,1118,8617980,1.0062,0.0129728776348982,3,242,96,0
2013-10-01,2013,10,1981,8617980,1.7829,0.0229868252189028,4,274,128,0
2013-10-17,2013,10,1459,8617980,1.3131,0.0169297213500147,4,290,144,0
2013-11-18,2013,11,1516,8617980,1.3644,0.0175911292437438,4,322,176,0
2013-12-20,2013,12,1629,8617980,1.4661,0.0189023413839438,4,354,208,0
2014-01-05,2014,1,301,8617980,0.2709,0.0034926978247802,1,5,224,0
2014-01-21,2014,1,3957,8617980,3.5613,0.0459156322015135,1,21,240,2
2014-02-06,2014,2,2165,8617980,1.9485,0.0251218963144495,1,37,256,0
2014-02-22,2014,2,8420,8617980,7.578,0.0977027099157807,1,53,272,2
2014-03-10,2014,3,39471,8617980,35.5239,0.4580075609365536,1,69,288,1
2014-03-26,2014,3,51257,8617980,46.1313,0.5947681475241298,1,85,304,1
2014-04-11,2014,4,5259,8617980,4.7331,0.0610235809319585,2,101,320,2
2014-04-27,2014,4,2645,8617980,2.3805,0.0306916469984845,2,117,336,0
2014-05-13,2014,5,3130,8617980,2.817,0.0363194159188116,2,133,352,0
2014-05-29,2014,5,4139,8617980,3.7251,0.0480274960025435,2,149,368,2
2014-06-14,2014,6,230,8617980,0.207,0.0026688388694334,2,165,384,0
2014-06-30,2014,6,2797,8617980,2.5173,0.0324554013817623,2,181,400,0
2014-07-16,2014,7,1677,8617980,1.5093,0.0194593164523473,3,197,416,0
2014-09-02,2014,9,2131,8617980,1.9179,0.0247273723076637,3,245,464,0
2014-10-04,2014,10,1489,8617980,1.3401,0.0172778307677669,4,277,496,0
2014-10-20,2014,10,1727,8617980,1.5543,0.0200394988152676,4,293,512,0
2014-12-07,2014,12,377,8617980,0.3393,0.0043745750164191,4,341,560,0
2015-01-08,2015,1,1537,8617980,1.3833,0.0178348058361704,1,8,592,0
2015-01-24,2015,1,3686,8617980,3.3174,0.0427710437944854,1,24,608,0
2015-02-09,2015,2,1163,8617980,1.0467,0.0134950417615264,1,40,624,0
2015-02-25,2015,2,2019,8617980,1.8171,0.0234277638147222,1,56,640,0
2015-03-29,2015,3,32969,8617980,29.6721,0.382560646462396,1,88,672,1
2015-04-14,2015,4,2807,8617980,2.5263,0.0325714378543463,2,104,688,0
2015-04-30,2015,4,3262,8617980,2.9358,0.0378510973569212,2,120,704,0
2015-06-01,2015,6,464,8617980,0.4176,0.0053840923279005,2,152,736,0
2015-07-03,2015,7,2593,8617980,2.3337,0.0300882573410474,3,184,768,0
2015-07-19,2015,7,0,8617980,0.0,0.0,3,200,784,0
2015-08-04,2015,8,2630,8617980,2.367,0.0305175922896084,3,216,800,0
2015-08-20,2015,8,3226,8617980,2.9034,0.0374333660556186,3,232,816,0
2015-09-21,2015,9,1596,8617980,1.4364,0.0185194210244163,3,264,848,0
2015-10-07,2015,10,5267,8617980,4.7403,0.0611164101100257,4,280,864,2
2015-11-24,2015,11,3932,8617980,3.5388,0.0456255410200534,4,328,912,2
2015-12-26,2015,12,2050,8617980,1.845,0.0237874768797328,4,360,944,0
2016-01-11,2016,1,2097,8617980,1.8873,0.0243328483008779,1,11,960,0
2016-01-27,2016,1,1393,8617980,1.2537,0.0161638806309599,1,27,976,0
2016-02-12,2016,2,3252,8617980,2.9268,0.0377350608843371,1,43,992,0
2016-02-28,2016,2,3398,8617980,3.0582,0.0394291933840644,1,59,1008,0
2016-03-15,2016,3,3984,8617980,3.5856,0.0462289306774905,1,75,1024,2
2016-03-31,2016,3,5402,8617980,4.8618,0.0626829024899106,1,91,1040,2
2016-04-16,2016,4,855,8617980,0.7695,0.0099211184059373,2,107,1056,0
2016-05-02,2016,5,6201,8617980,5.5809,0.0719542166493772,2,123,1072,2
2016-05-18,2016,5,100,8617980,0.09,0.0011603647258406,2,139,1088,0
2016-06-03,2016,6,846,8617980,0.7614,0.0098166855806116,2,155,1104,0
2016-07-05,2016,7,3237,8617980,2.9133,0.037561006175461,3,187,1136,0
2016-07-21,2016,7,931,8617980,0.8379,0.0108029955975762,3,203,1152,0
2016-08-06,2016,8,2309,8617980,2.0781,0.02679282151966,3,219,1168,0
2016-09-07,2016,9,1419,8617980,1.2771,0.0164655754596784,3,251,1200,0
2016-10-09,2016,10,28731,8617980,25.8579,0.3333843893812703,4,283,1232,1
2016-10-25,2016,10,1912,8617980,1.7208,0.0221861735580727,4,299,1248,0
2016-11-10,2016,11,1917,8617980,1.7253,0.0222441917943648,4,315,1264,0
2016-12-12,2016,12,2433,8617980,2.1897,0.0282316737797024,4,347,1296,0
2016-12-28,2016,12,2828,8617980,2.5452,0.0328151144467729,4,363,1312,0
2017-01-13,2017,1,2081,8617980,1.8729,0.0241471899447434,1,13,1328,0
2017-01-29,2017,1,2413,8617980,2.1717,0.0279996008345343,1,29,1344,0
2017-02-14,2017,2,1173,8617980,1.0557,0.0136110782341105,1,45,1360,0
2017-03-02,2017,3,1313,8617980,1.1817,0.0152355888502874,1,61,1376,0
2017-03-18,2017,3,2262,8617980,2.0358,0.0262474500985149,1,77,1392,0
2017-04-03,2017,4,2573,8617980,2.3157,0.0298561843958793,2,93,1408,0
2017-04-19,2017,4,2572,8617980,2.3148,0.0298445807486209,2,109,1424,0
2017-05-05,2017,5,1705,8617980,1.5345,0.0197842185755826,2,125,1440,0
2017-06-06,2017,6,2371,8617980,2.1339,0.0275122476496812,2,157,1472,0
2017-06-22,2017,6,2505,8617980,2.2545,0.0290671363823076,2,173,1488,0
2017-07-08,2017,7,1568,8617980,1.4112,0.018194518901181,3,189,1504,0
2017-07-24,2017,7,1402,8617980,1.2618,0.0162683134562855,3,205,1520,0
2017-08-09,2017,8,855,8617980,0.7695,0.0099211184059373,3,221,1536,0
2017-08-25,2017,8,2155,8617980,1.9395,0.0250058598418654,3,237,1552,0
2017-09-10,2017,9,17,8617980,0.0153,0.0001972620033929,3,253,1568,0
2017-10-28,2017,10,936,8617980,0.8424,0.0108610138338682,4,301,1616,0
2017-11-13,2017,11,1285,8617980,1.1565,0.014910686727052,4,317,1632,0
2017-12-15,2017,12,2597,8617980,2.3373,0.030134671930081,4,349,1664,0
2017-12-31,2017,12,2242,8617980,2.0178,0.0260153771533468,4,365,1680,0
2018-01-16,2018,1,501,8617980,0.4509,0.0058134272764615,1,16,1696,0
2018-02-01,2018,2,4286,8617980,3.8574,0.0497332321495292,1,32,1712,2
2018-02-17,2018,2,8233,8617980,7.4097,0.0955328278784587,1,48,1728,2
2018-03-05,2018,3,8309,8617980,7.4781,0.0964147050700976,1,64,1744,2
2018-03-21,2018,3,6456,8617980,5.8104,0.0749131467002708,1,80,1760,2
2018-04-06,2018,4,932,8617980,0.8388,0.0108145992448346,2,96,1776,0
2018-04-22,2018,4,150,8617980,0.135,0.0017405470887609,2,112,1792,0
2018-05-08,2018,5,3141,8617980,2.8269,0.036447056038654,2,128,1808,0
2018-05-24,2018,5,131,8617980,0.1179,0.0015200777908512,2,144,1824,0
2018-06-09,2018,6,2216,8617980,1.9944,0.0257136823246282,2,160,1840,0
2018-06-25,2018,6,1077,8617980,0.9693,0.0124971280973035,2,176,1856,0
2018-07-27,2018,7,3135,8617980,2.8215,0.0363774341551036,3,208,1888,0
2018-08-12,2018,8,264,8617980,0.2376,0.0030633628762192,3,224,1904,0
2018-08-28,2018,8,1840,8617980,1.656,0.0213507109554675,3,240,1920,0
2018-09-13,2018,9,12005,8617980,10.8045,0.1393017853371672,3,256,1936,2
2018-09-29,2018,9,2403,8617980,2.1627,0.0278835643619502,3,272,1952,0
2018-10-15,2018,10,4524,8617980,4.0716,0.0524949001970299,4,288,1968,2
2018-11-16,2018,11,322,8617980,0.2898,0.0037363744172068,4,320,2000,0
2018-12-02,2018,12,4291,8617980,3.8619,0.0497912503858212,4,336,2016,2
2018-12-18,2018,12,74,8617980,0.0666,0.000858669897122,4,352,2032,0
2019-01-03,2019,1,3448,8617980,3.1032,0.0400093757469847,1,3,2048,0
2019-02-04,2019,2,5,8617980,0.0045,5.801823629203131e-05,1,35,2080,0
2019-02-20,2019,2,6454,8617980,5.8086,0.074889939405754,1,51,2096,2
2019-03-08,2019,3,6087,8617980,5.4783,0.0706314008619189,1,67,2112,2
2019-03-24,2019,3,9835,8617980,8.8515,0.1141218707864255,1,83,2128,2
2019-04-09,2019,4,11233,8617980,10.1097,0.1303437696536775,2,99,2144,2
2019-04-25,2019,4,2424,8617980,2.1816,0.0281272409543767,2,115,2160,0
2019-05-11,2019,5,3355,8617980,3.0195,0.038930236551953,2,131,2176,0
2019-05-27,2019,5,3730,8617980,3.357,0.0432816042738553,2,147,2192,0
2019-06-12,2019,6,0,8617980,0.0,0.0,2,163,2208,0
2019-06-28,2019,6,2267,8617980,2.0403,0.0263054683348069,2,179,2224,0
2019-07-14,2019,7,916,8617980,0.8244,0.0106289408887001,3,195,2240,0
2019-07-30,2019,7,1014,8617980,0.9126,0.0117660983200239,3,211,2256,0
2019-08-31,2019,8,976,8617980,0.8784,0.0113251597242045,3,243,2288,0
2019-10-18,2019,10,2332,8617980,2.0988,0.0270597054066034,4,291,2336,0
2019-11-03,2019,11,2263,8617980,2.0367,0.0262590537457733,4,307,2352,0
