Date,Year,Month,Urban_Pixels,Valid_Pixels,Urban_Area_km2,Urban_Percentage
2013-05-26,2013,5,52,8617980,0.0468,0.0006033896574371256
2013-06-11,2013,6,416,8617980,0.3744,0.004827117259497005
2013-06-27,2013,6,1578,8617980,1.4202,0.01831055537376508
2013-07-13,2013,7,1138,8617980,1.0242,0.013204950580066325
2013-07-29,2013,7,469,8617980,0.4221,0.005442110564192537
2013-08-14,2013,8,801,8617980,0.7209,0.009294521453983417
2013-08-30,2013,8,1118,8617980,1.0062,0.012972877634898202
2013-10-01,2013,10,1981,8617980,1.7829,0.022986825218902805
2013-10-17,2013,10,1459,8617980,1.3131,0.016929721350014734
2013-11-18,2013,11,1516,8617980,1.3644,0.017591129243743894
2013-12-20,2013,12,1629,8617980,1.4661,0.0189023413839438
2014-01-05,2014,1,301,8617980,0.2709,0.0034926978247802848
2014-01-21,2014,1,3957,8617980,3.5613,0.04591563220151358
2014-02-06,2014,2,2165,8617980,1.9485,0.025121896314449558
2014-02-22,2014,2,8420,8617980,7.578,0.09770270991578073
2014-03-10,2014,3,39471,8617980,35.5239,0.4580075609365536
2014-03-26,2014,3,51257,8617980,46.1313,0.5947681475241298
2014-04-11,2014,4,5259,8617980,4.7331,0.06102358093195853
2014-04-27,2014,4,2645,8617980,2.3805,0.030691646998484565
2014-05-13,2014,5,3130,8617980,2.817,0.0363194159188116
2014-05-29,2014,5,4139,8617980,3.7251,0.04802749600254352
2014-06-14,2014,6,230,8617980,0.207,0.0026688388694334404
2014-06-30,2014,6,2797,8617980,2.5173,0.03245540138176232
2014-07-16,2014,7,1677,8617980,1.5093,0.0194593164523473
2014-09-02,2014,9,2131,8617980,1.9179,0.024727372307663746
2014-10-04,2014,10,1489,8617980,1.3401,0.017277830767766924
2014-10-20,2014,10,1727,8617980,1.5543,0.020039498815267613
2014-12-07,2014,12,377,8617980,0.3393,0.0043745750164191615
2015-01-08,2015,1,1537,8617980,1.3833,0.017834805836170423
2015-01-24,2015,1,3686,8617980,3.3174,0.042771043794485486
2015-02-09,2015,2,1163,8617980,1.0467,0.013495041761526482
2015-02-25,2015,2,2019,8617980,1.8171,0.023427763814722242
2015-03-29,2015,3,32969,8617980,29.6721,0.38256064646239607
2015-04-14,2015,4,2807,8617980,2.5263,0.03257143785434638
2015-04-30,2015,4,3262,8617980,2.9358,0.03785109735692123
2015-06-01,2015,6,464,8617980,0.4176,0.005384092327900505
2015-07-03,2015,7,2593,8617980,2.3337,0.030088257341047437
2015-07-19,2015,7,0,8617980,0.0,0.0
2015-08-04,2015,8,2630,8617980,2.367,0.03051759228960847
2015-08-20,2015,8,3226,8617980,2.9034,0.0374333660556186
