Date,Year,Month,Urban_Pixels,Valid_Pixels,Clear_Pixels,Urban_Area_km2,Urban_Percentage,Cloud_Coverage
2013-05-26,2013,5,14,3650038,3650038,0.0126,0.0003835576506326783,57.64624656822133
2013-06-11,2013,6,1,4352475,4352475,0.0009,2.2975433517711186e-05,49.4954153989682
2013-06-27,2013,6,154,4299631,4299631,0.1386,0.0035817027089068807,50.10859853469143
2013-07-13,2013,7,515,5516251,5516251,0.4635,0.009336050879483186,35.9913692071692
2013-07-29,2013,7,394,5531476,5531476,0.3546,0.007122872810078178,35.81470367765996
2013-08-14,2013,8,161,4337160,4337160,0.1449,0.0037121065397633475,49.67312525673069
2013-08-30,2013,8,962,7615522,7615522,0.8658,0.012632095344219347,11.632169023367425
2013-10-01,2013,10,579,4342897,4342897,0.5211,0.013332114484870353,49.60655513240922
2013-10-17,2013,10,1139,6410166,6410166,1.0251,0.01776865060904819,25.618694868170966
2013-11-18,2013,11,393,6232918,6232918,0.3537,0.006305232958302997,27.67541813742896
2013-12-20,2013,12,443,4078075,4078075,0.3987,0.010862968434862036,52.67945620667488
2014-01-05,2014,1,86,3634557,3634557,0.0774,0.002366175575180139,57.82588263142871
2014-01-21,2014,1,1932,7455607,7455607,1.7388,0.025913383041783183,13.487766274695462
2014-02-06,2014,2,1931,6064780,6064780,1.7379,0.03183957208670389,29.62643218016287
2014-02-22,2014,2,7491,7809968,7809968,6.7419,0.09591588595497447,9.37588622855936
2014-03-10,2014,3,39224,8325944,8325944,35.3016,0.4711057388807804,3.388682730755931
2014-03-26,2014,3,49993,6300093,6300093,44.9937,0.7935279685553848,26.895943132845517
2014-04-11,2014,4,2721,5601841,5601841,2.4489,0.0485733172362443,34.998213038322206
2014-04-27,2014,4,699,4578489,4578489,0.6291,0.015267045525281376,46.872828667506774
2014-05-13,2014,5,2026,6425446,6425446,1.8234,0.031530885171239476,25.441391138062514
2014-05-29,2014,5,1688,4937732,4937732,1.5192,0.034185735475315386,42.704299615455135
2014-06-14,2014,6,67,4429960,4429960,0.0603,0.0015124290061309807,48.596306791150596
2014-06-30,2014,6,200,3487167,3487167,0.18,0.005735314655134096,59.53614420084521
2014-07-16,2014,7,4,4093277,4093277,0.0036,9.772121456720372e-05,52.50305756105259
2014-09-02,2014,9,754,5087183,5087183,0.6786,0.014821562345997776,40.97012292903906
2014-10-04,2014,10,628,3446371,3446371,0.5652,0.018222066051507516,60.009526594399155
2014-10-20,2014,10,399,4766403,4766403,0.3591,0.008371092414972045,44.692340896590615
2014-12-07,2014,12,53,3479529,3479529,0.0477,0.001523194662266071,59.62477285860491
2015-01-08,2015,1,1417,8617390,8617390,1.2753,0.016443493911729654,0.006846151882459696
2015-01-24,2015,1,1829,5711161,5711161,1.6461,0.03202501207722913,33.72970232003323
2015-02-09,2015,2,522,4870247,4870247,0.4698,0.010718142221534143,43.48737175068867
2015-02-25,2015,2,385,4661921,4661921,0.3465,0.008258398201084918,45.90471316944342
2015-03-29,2015,3,32317,8490042,8490042,29.0853,0.38064593791173235,1.4845474229459805
2015-04-14,2015,4,2030,8245148,8245148,1.827,0.024620540468163823,4.326211014646124
2015-04-30,2015,4,2084,6254576,6254576,1.8756,0.033319604718209515,27.42410634510639
2015-06-01,2015,6,28,3463165,3463165,0.0252,0.0008085089795028536,59.81465494234147
2015-07-03,2015,7,522,5374321,5374321,0.4698,0.009712854889017608,37.6382748625548
2015-07-19,2015,7,0,3174977,3174977,0.0,0.0,63.15868683844707
2015-08-04,2015,8,332,4625573,4625573,0.2988,0.0071774891456690875,46.32648253999197
2015-08-20,2015,8,1001,4736015,4736015,0.9009,0.021135912787438385,45.04495252947906
2015-09-21,2015,9,936,4986710,4986710,0.8424,0.01876989036859974,42.135976180032905
2015-10-07,2015,10,2065,5369845,5369845,1.8585,0.03845548614531704,37.69021278768342
2015-11-24,2015,11,1114,6608474,6608474,1.0026,0.016857144327116973,23.317598787650933
2015-12-26,2015,12,629,5864558,5864558,0.5661,0.010725445975638744,31.949737641535485
2016-01-11,2016,1,831,5985612,5985612,0.7479,0.013883292134538625,30.545069726316378
2016-01-27,2016,1,1299,8614178,8614178,1.1691,0.015079790549951488,0.04411706687646061
2016-02-12,2016,2,3239,8462249,8462249,2.9151,0.038275876779329,1.8070475911988657
2016-02-28,2016,2,494,4758564,4758564,0.4446,0.010381283092966702,44.78330188744926
2016-03-15,2016,3,2599,5908239,5908239,2.3391,0.04398941884375361,31.442878725641044
2016-03-31,2016,3,4079,7362156,7362156,3.6711,0.05540496561061732,14.572138714640786
2016-04-16,2016,4,235,4203821,4203821,0.2115,0.0055901523875540845,51.22034397851933
2016-05-02,2016,5,4871,7409546,7409546,4.3839,0.06573952034308175,14.022241871064914
2016-05-18,2016,5,0,3237820,3237820,0.0,0.0,62.42947883378703
2016-06-03,2016,6,81,3918888,3918888,0.0729,0.0020669128589538665,54.52660600279879
2016-07-05,2016,7,453,4582370,4582370,0.4077,0.00988571416101275,46.8277949124969
2016-07-21,2016,7,930,4634574,4634574,0.837,0.020066569225132665,46.22203811101905
2016-08-06,2016,8,865,4801346,4801346,0.7785,0.01801578140796352,44.286874650440126
2016-09-07,2016,9,967,4632159,4632159,0.8703,0.020875794634856015,46.250060919148105
2016-10-09,2016,10,23042,5229992,5229992,20.7378,0.4405742876853349,39.31301766771332
2016-10-25,2016,10,743,4118885,4118885,0.6687,0.01803886245913639,52.20591136205932
